"AssessmentID","ResponseID","PropertyClass","AssessorID","AssessmentResult","FailureClass","Materiality","Compensability","EvidenceReference","Rationale","AdjudicationStatus","FinalResult"
"MS-T8-ASM-018","MS-T8-RESP-002","APPLICATION_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-002;APPLICATION_SOURCE","APPLICATION_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-019","MS-T8-RESP-002","EXCLUSION_SOURCE","AS-001","UNRESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-002;EXCLUSION_SOURCE","EXCLUSION_SOURCE lacked the required evidentiary link and was preserved as unresolved.","NOT_REQUIRED","UNRESOLVED"
"MS-T8-ASM-020","MS-T8-RESP-002","RESULT_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-002;RESULT_SOURCE","RESULT_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-021","MS-T8-RESP-003","CANONICAL_SOURCE","AS-001","UNRESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-003;CANONICAL_SOURCE","CANONICAL_SOURCE lacked the required evidentiary link and was preserved as unresolved.","NOT_REQUIRED","UNRESOLVED"
"MS-T8-ASM-022","MS-T8-RESP-003","VERSION_SOURCE","AS-001","UNRESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-003;VERSION_SOURCE","VERSION_SOURCE lacked the required evidentiary link and was preserved as unresolved.","NOT_REQUIRED","UNRESOLVED"
"MS-T8-ASM-023","MS-T8-RESP-003","AUTHORITY_SOURCE","AS-001","UNRESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-003;AUTHORITY_SOURCE","AUTHORITY_SOURCE lacked the required evidentiary link and was preserved as unresolved.","NOT_REQUIRED","UNRESOLVED"
"MS-T8-ASM-024","MS-T8-RESP-003","DEPENDENCY_SOURCE","AS-001","UNRESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-003;DEPENDENCY_SOURCE","DEPENDENCY_SOURCE lacked the required evidentiary link and was preserved as unresolved.","NOT_REQUIRED","UNRESOLVED"
"MS-T8-ASM-025","MS-T8-RESP-003","PROVENANCE_SOURCE","AS-001","UNRESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-003;PROVENANCE_SOURCE","PROVENANCE_SOURCE lacked the required evidentiary link and was preserved as unresolved.","NOT_REQUIRED","UNRESOLVED"
"MS-T8-ASM-026","MS-T8-RESP-003","EVIDENCE_BOUNDARY","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-003;EVIDENCE_BOUNDARY","EVIDENCE_BOUNDARY was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-027","MS-T8-RESP-003","UNCERTAINTY_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-003;UNCERTAINTY_SOURCE","UNCERTAINTY_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-028","MS-T8-RESP-003","APPLICATION_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-003;APPLICATION_SOURCE","APPLICATION_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-029","MS-T8-RESP-003","EXCLUSION_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-003;EXCLUSION_SOURCE","EXCLUSION_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-030","MS-T8-RESP-003","RESULT_SOURCE","AS-001","UNRESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-003;RESULT_SOURCE","RESULT_SOURCE lacked the required evidentiary link and was preserved as unresolved.","NOT_REQUIRED","UNRESOLVED"
"MS-T8-ASM-031","MS-T8-RESP-CTRL-001","CANONICAL_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-CTRL-001;CANONICAL_SOURCE","CANONICAL_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-032","MS-T8-RESP-CTRL-001","VERSION_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-CTRL-001;VERSION_SOURCE","VERSION_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-033","MS-T8-RESP-CTRL-001","AUTHORITY_SOURCE","AS-001","NOT_REQUIRED_BY_CONTROL","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-CTRL-001;AUTHORITY_SOURCE","AUTHORITY_SOURCE was outside the deliberately minimal declared control chain.","NOT_REQUIRED","NOT_REQUIRED_BY_CONTROL"
"MS-T8-ASM-034","MS-T8-RESP-CTRL-001","DEPENDENCY_SOURCE","AS-001","NOT_REQUIRED_BY_CONTROL","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-CTRL-001;DEPENDENCY_SOURCE","DEPENDENCY_SOURCE was outside the deliberately minimal declared control chain.","NOT_REQUIRED","NOT_REQUIRED_BY_CONTROL"
"MS-T8-ASM-035","MS-T8-RESP-CTRL-001","PROVENANCE_SOURCE","AS-001","NOT_REQUIRED_BY_CONTROL","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-CTRL-001;PROVENANCE_SOURCE","PROVENANCE_SOURCE was outside the deliberately minimal declared control chain.","NOT_REQUIRED","NOT_REQUIRED_BY_CONTROL"
"MS-T8-ASM-036","MS-T8-RESP-CTRL-001","EVIDENCE_BOUNDARY","AS-001","NOT_REQUIRED_BY_CONTROL","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-CTRL-001;EVIDENCE_BOUNDARY","EVIDENCE_BOUNDARY was outside the deliberately minimal declared control chain.","NOT_REQUIRED","NOT_REQUIRED_BY_CONTROL"
"MS-T8-ASM-037","MS-T8-RESP-CTRL-001","UNCERTAINTY_SOURCE","AS-001","NOT_REQUIRED_BY_CONTROL","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-CTRL-001;UNCERTAINTY_SOURCE","UNCERTAINTY_SOURCE was outside the deliberately minimal declared control chain.","NOT_REQUIRED","NOT_REQUIRED_BY_CONTROL"
"MS-T8-ASM-038","MS-T8-RESP-CTRL-001","APPLICATION_SOURCE","AS-001","NOT_REQUIRED_BY_CONTROL","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-CTRL-001;APPLICATION_SOURCE","APPLICATION_SOURCE was outside the deliberately minimal declared control chain.","NOT_REQUIRED","NOT_REQUIRED_BY_CONTROL"
"MS-T8-ASM-039","MS-T8-RESP-CTRL-001","EXCLUSION_SOURCE","AS-001","NOT_REQUIRED_BY_CONTROL","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-CTRL-001;EXCLUSION_SOURCE","EXCLUSION_SOURCE was outside the deliberately minimal declared control chain.","NOT_REQUIRED","NOT_REQUIRED_BY_CONTROL"
"MS-T8-ASM-040","MS-T8-RESP-CTRL-001","RESULT_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-CTRL-001;RESULT_SOURCE","RESULT_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
