"TheoremID","FileName","CsvRow","RecordIdentity","MissingField","EntryAuthority","Instruction","CompletionStatus"
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","SubmittedAt","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AdjudicationStatus","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessmentID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessmentResult","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessorID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Compensability","GOVERNED_ASSESSOR_JUDGMENT","Assess against the declared semantic criteria and cite the supporting response evidence.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","EvidenceReference","GOVERNED_ASSESSOR_JUDGMENT","Provide a traceable reference to the supporting controlled source or observation.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","FinalResult","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Materiality","GOVERNED_ASSESSOR_JUDGMENT","Assess against the declared semantic criteria and cite the supporting response evidence.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","PropertyClass","GOVERNED_ASSESSOR_JUDGMENT","Assess against the declared semantic criteria and cite the supporting response evidence.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","PropertyID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Rationale","GOVERNED_ASSESSOR_JUDGMENT","State the evidence-based rationale. Preserve uncertainty and contradictory observations.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","ResponseID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","AuthoritySource","GOVERNED_CASE_DESIGN","Provide a traceable reference to the supporting controlled source or observation.","NOT_ENTERED"
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","CanonicalSource","GOVERNED_CASE_DESIGN","Provide a traceable reference to the supporting controlled source or observation.","NOT_ENTERED"
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","DependencyIDs","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","FrameworkID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GovernedObjectID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GoverningVersion","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","MaterialPropertyCount","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","UncertaintyState","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","CanonicalSource","GOVERNED_DEPENDENCY_DESIGN","Provide a traceable reference to the supporting controlled source or observation.","NOT_ENTERED"
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","ChainName","GOVERNED_DEPENDENCY_DESIGN","Define the canonical dependency relationship and expected propagation boundary.","NOT_ENTERED"
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","CorrectionAvailability","GOVERNED_DEPENDENCY_DESIGN","Define the canonical dependency relationship and expected propagation boundary.","NOT_ENTERED"
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","DependencyDepth","GOVERNED_DEPENDENCY_DESIGN","Define the canonical dependency relationship and expected propagation boundary.","NOT_ENTERED"
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GoverningVersion","GOVERNED_DEPENDENCY_DESIGN","Define the canonical dependency relationship and expected propagation boundary.","NOT_ENTERED"
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","RootObjectID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","TerminalObjectID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AdjudicationStatus","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","NOT_ENTERED"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessmentID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessmentResult","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","NOT_ENTERED"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessorID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CaseID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Compensability","GOVERNED_ASSESSOR_JUDGMENT","Assess the downstream effect against the declared dependency and propagation criteria.","NOT_ENTERED"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","EvidenceReference","GOVERNED_ASSESSOR_JUDGMENT","Provide a traceable reference to the supporting controlled source or observation.","NOT_ENTERED"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","FinalResult","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","NOT_ENTERED"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Materiality","GOVERNED_ASSESSOR_JUDGMENT","Assess the downstream effect against the declared dependency and propagation criteria.","NOT_ENTERED"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","ObjectID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","PropertyClass","GOVERNED_ASSESSOR_JUDGMENT","Assess the downstream effect against the declared dependency and propagation criteria.","NOT_ENTERED"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Rationale","GOVERNED_ASSESSOR_JUDGMENT","State the evidence-based rationale. Preserve uncertainty and contradictory observations.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","CaseID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","DependencyEdgeID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","DetectedAt","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","DetectionMethod","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","EventClass","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","EventID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","EventStatus","OBSERVED_EXECUTION_ONLY","Use only an authorized value defined by the trial procedure or data dictionary.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","EvidenceReference","OBSERVED_EXECUTION_ONLY","Provide a traceable reference to the supporting controlled source or observation.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","PropagationLevel","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","PropertyClass","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","SourceObjectID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","TargetObjectID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","CorrectionEnabled","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","OriginalValue","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","SeededValue","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","SeedObjectID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","SeedPropertyClass","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","CorrectionEnabled","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","DivergenceClass","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","OriginalValue","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","SeededValue","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","SeedObjectID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","SeedPropertyClass","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
