"Category","DirectoryName","RelativePath","FullPath","DirectFileCount","CsvCount","JsonCount","MarkdownCount","PowerShellCount"
"EVIDENCE","02_EVIDENCE","volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T2_CONTROLLED_EXECUTION/02_EVIDENCE","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T2_CONTROLLED_EXECUTION\02_EVIDENCE","2","1","0","0","0"
"EVIDENCE","evidence","volumes/VOLUME_I_FOUNDATION/verification/MS-T1/trials/MS-T1-TRIAL-0001/evidence","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\evidence","0","0","0","0","0"
"EVIDENCE","evidence","volumes/VOLUME_I_FOUNDATION/verification/trial_runtime/evidence","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\trial_runtime\evidence","0","0","0","0","0"
"EVIDENCE","evidence","volumes/VOLUME_II_ONTOLOGY/evidence","C:\Users\18177\morning-star\volumes\VOLUME_II_ONTOLOGY\evidence","1","0","0","1","0"
"EVIDENCE","evidence","volumes/VOLUME_III_NAVIGATION/evidence","C:\Users\18177\morning-star\volumes\VOLUME_III_NAVIGATION\evidence","1","0","0","1","0"
"EVIDENCE","evidence","volumes/VOLUME_IV_INTERPRETATION/evidence","C:\Users\18177\morning-star\volumes\VOLUME_IV_INTERPRETATION\evidence","1","0","0","1","0"
"EVIDENCE","evidence","volumes/VOLUME_V_INITIATION/evidence","C:\Users\18177\morning-star\volumes\VOLUME_V_INITIATION\evidence","1","0","0","1","0"
"EXECUTION","execution-assurance-foundation","applied-architectures/execution-assurance-foundation","C:\Users\18177\morning-star\applied-architectures\execution-assurance-foundation","3","0","0","3","0"
"EXECUTION","execution-assurance","applied-development/execution-assurance","C:\Users\18177\morning-star\applied-development\execution-assurance","3","0","0","3","0"
"EXECUTION","evolution-governance-execution","architecture-operating-continuity-framework/evolution-governance-execution","C:\Users\18177\morning-star\architecture-operating-continuity-framework\evolution-governance-execution","3","0","0","3","0"
"EXECUTION","autonomous-execution-framework","autonomous-systems-architecture/autonomous-execution-framework","C:\Users\18177\morning-star\autonomous-systems-architecture\autonomous-execution-framework","3","0","0","3","0"
"EXECUTION","unified-execution-environment","complete-architecture-integration/unified-execution-environment","C:\Users\18177\morning-star\complete-architecture-integration\unified-execution-environment","3","0","0","3","0"
"EXECUTION","execution","execution","C:\Users\18177\morning-star\execution","0","0","0","0","0"
"EXECUTION","execution-assurance","execution-assurance","C:\Users\18177\morning-star\execution-assurance","0","0","0","0","0"
"EXECUTION","execution-controls","execution-assurance/execution-controls","C:\Users\18177\morning-star\execution-assurance\execution-controls","3","0","0","3","0"
"EXECUTION","execution-governance","execution-assurance/execution-governance","C:\Users\18177\morning-star\execution-assurance\execution-governance","3","0","0","3","0"
"EXECUTION","distributed-execution-framework","global-operating-model/distributed-execution-framework","C:\Users\18177\morning-star\global-operating-model\distributed-execution-framework","3","0","0","3","0"
"EXECUTION","execution","phase-ii/execution","C:\Users\18177\morning-star\phase-ii\execution","1","0","0","1","0"
"EXECUTION","execution","volumes/VOLUME_I_FOUNDATION/verification/execution","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution","0","0","0","0","0"
"EXECUTION","MS-T1_CONTROLLED_EXECUTION","volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION","1","0","0","1","0"
"EXECUTION","MS-T2_CONTROLLED_EXECUTION","volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T2_CONTROLLED_EXECUTION","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T2_CONTROLLED_EXECUTION","1","0","0","1","0"
"EXECUTION","BATCH_EXECUTION","volumes/VOLUME_I_FOUNDATION/verification/readiness/BATCH_EXECUTION","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION","0","0","0","0","0"
"EXECUTION","execution_trace","volumes/VOLUME_I_FOUNDATION/verification/trial_runtime/evidence/execution_trace","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\trial_runtime\evidence\execution_trace","0","0","0","0","0"
"MANIFEST","release-manifest","ecosystem-release/release-manifest","C:\Users\18177\morning-star\ecosystem-release\release-manifest","3","0","0","3","0"
"OTHER","activation","activation","C:\Users\18177\morning-star\activation","0","0","0","0","0"
"OTHER","community-operations","activation/community-operations","C:\Users\18177\morning-star\activation\community-operations","4","0","0","4","0"
"OTHER","deployment-operations","activation/deployment-operations","C:\Users\18177\morning-star\activation\deployment-operations","4","0","0","4","0"
"OTHER","ecosystem-operations","activation/ecosystem-operations","C:\Users\18177\morning-star\activation\ecosystem-operations","4","0","0","4","0"
"OTHER","funding-operations","activation/funding-operations","C:\Users\18177\morning-star\activation\funding-operations","4","0","0","4","0"
"OTHER","impact-operations","activation/impact-operations","C:\Users\18177\morning-star\activation\impact-operations","4","0","0","4","0"
"OTHER","partnership-operations","activation/partnership-operations","C:\Users\18177\morning-star\activation\partnership-operations","4","0","0","4","0"
"OTHER","research-operations","activation/research-operations","C:\Users\18177\morning-star\activation\research-operations","4","0","0","4","0"
"OTHER","adaptive-ecosystem-evolution","adaptive-ecosystem-evolution","C:\Users\18177\morning-star\adaptive-ecosystem-evolution","0","0","0","0","0"
"OTHER","adaptive-learning-architecture","adaptive-ecosystem-evolution/adaptive-learning-architecture","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\adaptive-learning-architecture","3","0","0","3","0"
"OTHER","dynamic-governance-intelligence","adaptive-ecosystem-evolution/dynamic-governance-intelligence","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\dynamic-governance-intelligence","3","0","0","3","0"
"OTHER","evolutionary-architecture-framework","adaptive-ecosystem-evolution/evolutionary-architecture-framework","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\evolutionary-architecture-framework","3","0","0","3","0"
"OTHER","final-consolidation","adaptive-ecosystem-evolution/final-consolidation","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\final-consolidation","3","0","0","3","0"
"OTHER","recursive-knowledge-integration","adaptive-ecosystem-evolution/recursive-knowledge-integration","C:\Users\18177\morning-star\adaptive-ecosystem-evolution\recursive-knowledge-integration","3","0","0","3","0"
"OTHER","adaptive-systems","adaptive-systems","C:\Users\18177\morning-star\adaptive-systems","0","0","0","0","0"
"OTHER","adaptation-framework","adaptive-systems/adaptation-framework","C:\Users\18177\morning-star\adaptive-systems\adaptation-framework","3","0","0","3","0"
"OTHER","autonomous-evolution","adaptive-systems/autonomous-evolution","C:\Users\18177\morning-star\adaptive-systems\autonomous-evolution","3","0","0","3","0"
"OTHER","feedback-systems","adaptive-systems/feedback-systems","C:\Users\18177\morning-star\adaptive-systems\feedback-systems","3","0","0","3","0"
"OTHER","optimization-framework","adaptive-systems/optimization-framework","C:\Users\18177\morning-star\adaptive-systems\optimization-framework","3","0","0","3","0"
"OTHER","resilience-models","adaptive-systems/resilience-models","C:\Users\18177\morning-star\adaptive-systems\resilience-models","3","0","0","3","0"
"OTHER","adoption","adoption","C:\Users\18177\morning-star\adoption","5","0","0","5","0"
"OTHER","advanced-ecosystem-evolution","advanced-ecosystem-evolution","C:\Users\18177\morning-star\advanced-ecosystem-evolution","0","0","0","0","0"
"OTHER","autonomous-ecosystem-intelligence","advanced-ecosystem-evolution/autonomous-ecosystem-intelligence","C:\Users\18177\morning-star\advanced-ecosystem-evolution\autonomous-ecosystem-intelligence","3","0","0","3","0"
"OTHER","final-consolidation","advanced-ecosystem-evolution/final-consolidation","C:\Users\18177\morning-star\advanced-ecosystem-evolution\final-consolidation","3","0","0","3","0"
"OTHER","next-generation-orynth-civilization-layer","advanced-ecosystem-evolution/next-generation-orynth-civilization-layer","C:\Users\18177\morning-star\advanced-ecosystem-evolution\next-generation-orynth-civilization-layer","3","0","0","3","0"
"OTHER","recursive-architecture-optimization","advanced-ecosystem-evolution/recursive-architecture-optimization","C:\Users\18177\morning-star\advanced-ecosystem-evolution\recursive-architecture-optimization","3","0","0","3","0"
"OTHER","universal-capability-convergence","advanced-ecosystem-evolution/universal-capability-convergence","C:\Users\18177\morning-star\advanced-ecosystem-evolution\universal-capability-convergence","3","0","0","3","0"
"OTHER","applied-architectures","applied-architectures","C:\Users\18177\morning-star\applied-architectures","0","0","0","0","0"
"OTHER","constitutional-game-runtime","applied-architectures/constitutional-game-runtime","C:\Users\18177\morning-star\applied-architectures\constitutional-game-runtime","3","0","0","3","0"
"OTHER","planetary-psychology-atlas","applied-architectures/planetary-psychology-atlas","C:\Users\18177\morning-star\applied-architectures\planetary-psychology-atlas","3","0","0","3","0"
"OTHER","applied-development","applied-development","C:\Users\18177\morning-star\applied-development","0","0","0","0","0"
"OTHER","constitutional-game-runtime","applied-development/constitutional-game-runtime","C:\Users\18177\morning-star\applied-development\constitutional-game-runtime","3","0","0","3","0"
"OTHER","planetary-psychology-atlas","applied-development/planetary-psychology-atlas","C:\Users\18177\morning-star\applied-development\planetary-psychology-atlas","3","0","0","3","0"
"OTHER","architecture","architecture","C:\Users\18177\morning-star\architecture","1","0","0","1","0"
"OTHER","architecture-absolute-coherence-framework","architecture-absolute-coherence-framework","C:\Users\18177\morning-star\architecture-absolute-coherence-framework","0","0","0","0","0"
"OTHER","absolute-architecture-continuum","architecture-absolute-coherence-framework/absolute-architecture-continuum","C:\Users\18177\morning-star\architecture-absolute-coherence-framework\absolute-architecture-continuum","3","0","0","3","0"
"OTHER","cross-domain-intelligence-alignment","architecture-absolute-coherence-framework/cross-domain-intelligence-alignment","C:\Users\18177\morning-star\architecture-absolute-coherence-framework\cross-domain-intelligence-alignment","3","0","0","3","0"
"OTHER","final-consolidation","architecture-absolute-coherence-framework/final-consolidation","C:\Users\18177\morning-star\architecture-absolute-coherence-framework\final-consolidation","3","0","0","3","0"
"OTHER","recursive-coherence-governance","architecture-absolute-coherence-framework/recursive-coherence-governance","C:\Users\18177\morning-star\architecture-absolute-coherence-framework\recursive-coherence-governance","3","0","0","3","0"
"OTHER","universal-state-coherence-modeling","architecture-absolute-coherence-framework/universal-state-coherence-modeling","C:\Users\18177\morning-star\architecture-absolute-coherence-framework\universal-state-coherence-modeling","3","0","0","3","0"
"OTHER","architecture-adaptation-framework","architecture-adaptation-framework","C:\Users\18177\morning-star\architecture-adaptation-framework","0","0","0","0","0"
"OTHER","adaptive-governance-validation","architecture-adaptation-framework/adaptive-governance-validation","C:\Users\18177\morning-star\architecture-adaptation-framework\adaptive-governance-validation","3","0","0","3","0"
"OTHER","adaptive-state-modeling","architecture-adaptation-framework/adaptive-state-modeling","C:\Users\18177\morning-star\architecture-adaptation-framework\adaptive-state-modeling","3","0","0","3","0"
"OTHER","evolution-constraint-management","architecture-adaptation-framework/evolution-constraint-management","C:\Users\18177\morning-star\architecture-adaptation-framework\evolution-constraint-management","3","0","0","3","0"
"OTHER","final-consolidation","architecture-adaptation-framework/final-consolidation","C:\Users\18177\morning-star\architecture-adaptation-framework\final-consolidation","3","0","0","3","0"
"OTHER","long-term-evolution-continuity","architecture-adaptation-framework/long-term-evolution-continuity","C:\Users\18177\morning-star\architecture-adaptation-framework\long-term-evolution-continuity","3","0","0","3","0"
"OTHER","architecture-adaptive-intelligence-framework","architecture-adaptive-intelligence-framework","C:\Users\18177\morning-star\architecture-adaptive-intelligence-framework","0","0","0","0","0"
"OTHER","adaptive-architecture-continuum","architecture-adaptive-intelligence-framework/adaptive-architecture-continuum","C:\Users\18177\morning-star\architecture-adaptive-intelligence-framework\adaptive-architecture-continuum","3","0","0","3","0"
"OTHER","architecture-adaptation-integration-mapping","architecture-adaptive-intelligence-framework/architecture-adaptation-integration-mapping","C:\Users\18177\morning-star\architecture-adaptive-intelligence-framework\architecture-adaptation-integration-mapping","3","0","0","3","0"
"OTHER","final-consolidation","architecture-adaptive-intelligence-framework/final-consolidation","C:\Users\18177\morning-star\architecture-adaptive-intelligence-framework\final-consolidation","3","0","0","3","0"
"OTHER","recursive-adaptive-governance","architecture-adaptive-intelligence-framework/recursive-adaptive-governance","C:\Users\18177\morning-star\architecture-adaptive-intelligence-framework\recursive-adaptive-governance","3","0","0","3","0"
"OTHER","unified-adaptive-intelligence-modeling","architecture-adaptive-intelligence-framework/unified-adaptive-intelligence-modeling","C:\Users\18177\morning-star\architecture-adaptive-intelligence-framework\unified-adaptive-intelligence-modeling","3","0","0","3","0"
"OTHER","architecture-adaptive-synthesis","architecture-adaptive-synthesis","C:\Users\18177\morning-star\architecture-adaptive-synthesis","0","0","0","0","0"
"OTHER","adaptive-knowledge-evolution","architecture-adaptive-synthesis/adaptive-knowledge-evolution","C:\Users\18177\morning-star\architecture-adaptive-synthesis\adaptive-knowledge-evolution","3","0","0","3","0"
"OTHER","dynamic-architecture-synthesis","architecture-adaptive-synthesis/dynamic-architecture-synthesis","C:\Users\18177\morning-star\architecture-adaptive-synthesis\dynamic-architecture-synthesis","3","0","0","3","0"
"OTHER","emergent-pattern-integration","architecture-adaptive-synthesis/emergent-pattern-integration","C:\Users\18177\morning-star\architecture-adaptive-synthesis\emergent-pattern-integration","3","0","0","3","0"
"OTHER","final-consolidation","architecture-adaptive-synthesis/final-consolidation","C:\Users\18177\morning-star\architecture-adaptive-synthesis\final-consolidation","3","0","0","3","0"
"OTHER","self-organizing-architecture-framework","architecture-adaptive-synthesis/self-organizing-architecture-framework","C:\Users\18177\morning-star\architecture-adaptive-synthesis\self-organizing-architecture-framework","3","0","0","3","0"
"OTHER","architecture-adoption-framework","architecture-adoption-framework","C:\Users\18177\morning-star\architecture-adoption-framework","0","0","0","0","0"
"OTHER","deployment-governance","architecture-adoption-framework/deployment-governance","C:\Users\18177\morning-star\architecture-adoption-framework\deployment-governance","3","0","0","3","0"
"OTHER","final-consolidation","architecture-adoption-framework/final-consolidation","C:\Users\18177\morning-star\architecture-adoption-framework\final-consolidation","3","0","0","3","0"
"OTHER","global-adoption-continuity","architecture-adoption-framework/global-adoption-continuity","C:\Users\18177\morning-star\architecture-adoption-framework\global-adoption-continuity","3","0","0","3","0"
"OTHER","implementation-pathway-definition","architecture-adoption-framework/implementation-pathway-definition","C:\Users\18177\morning-star\architecture-adoption-framework\implementation-pathway-definition","3","0","0","3","0"
"OTHER","stakeholder-integration-model","architecture-adoption-framework/stakeholder-integration-model","C:\Users\18177\morning-star\architecture-adoption-framework\stakeholder-integration-model","3","0","0","3","0"
"OTHER","architecture-agency-framework","architecture-agency-framework","C:\Users\18177\morning-star\architecture-agency-framework","0","0","0","0","0"
"OTHER","agency-continuity-preservation","architecture-agency-framework/agency-continuity-preservation","C:\Users\18177\morning-star\architecture-agency-framework\agency-continuity-preservation","3","0","0","3","0"
"OTHER","agency-governance-system","architecture-agency-framework/agency-governance-system","C:\Users\18177\morning-star\architecture-agency-framework\agency-governance-system","3","0","0","3","0"
"OTHER","agency-state-modeling","architecture-agency-framework/agency-state-modeling","C:\Users\18177\morning-star\architecture-agency-framework\agency-state-modeling","3","0","0","3","0"
"OTHER","autonomous-capability-coordination","architecture-agency-framework/autonomous-capability-coordination","C:\Users\18177\morning-star\architecture-agency-framework\autonomous-capability-coordination","3","0","0","3","0"
"OTHER","final-consolidation","architecture-agency-framework/final-consolidation","C:\Users\18177\morning-star\architecture-agency-framework\final-consolidation","3","0","0","3","0"
"OTHER","architecture-assurance-framework","architecture-assurance-framework","C:\Users\18177\morning-star\architecture-assurance-framework","0","0","0","0","0"
"OTHER","assurance-baseline-establishment","architecture-assurance-framework/assurance-baseline-establishment","C:\Users\18177\morning-star\architecture-assurance-framework\assurance-baseline-establishment","3","0","0","3","0"
"OTHER","assurance-continuity-model","architecture-assurance-framework/assurance-continuity-model","C:\Users\18177\morning-star\architecture-assurance-framework\assurance-continuity-model","3","0","0","3","0"
"OTHER","final-consolidation","architecture-assurance-framework/final-consolidation","C:\Users\18177\morning-star\architecture-assurance-framework\final-consolidation","3","0","0","3","0"
"OTHER","architecture-autonomous-governance","architecture-autonomous-governance","C:\Users\18177\morning-star\architecture-autonomous-governance","0","0","0","0","0"
"OTHER","adaptive-governance-intelligence","architecture-autonomous-governance/adaptive-governance-intelligence","C:\Users\18177\morning-star\architecture-autonomous-governance\adaptive-governance-intelligence","3","0","0","3","0"
"OTHER","autonomous-architecture-monitoring","architecture-autonomous-governance/autonomous-architecture-monitoring","C:\Users\18177\morning-star\architecture-autonomous-governance\autonomous-architecture-monitoring","3","0","0","3","0"
"OTHER","final-consolidation","architecture-autonomous-governance/final-consolidation","C:\Users\18177\morning-star\architecture-autonomous-governance\final-consolidation","3","0","0","3","0"
"OTHER","orynth-architecture-continuum","architecture-autonomous-governance/orynth-architecture-continuum","C:\Users\18177\morning-star\architecture-autonomous-governance\orynth-architecture-continuum","3","0","0","3","0"
"OTHER","self-regulating-reference-evolution","architecture-autonomous-governance/self-regulating-reference-evolution","C:\Users\18177\morning-star\architecture-autonomous-governance\self-regulating-reference-evolution","3","0","0","3","0"
"OTHER","architecture-autonomous-intelligence","architecture-autonomous-intelligence","C:\Users\18177\morning-star\architecture-autonomous-intelligence","0","0","0","0","0"
"OTHER","autonomous-intelligence-continuity-model","architecture-autonomous-intelligence/autonomous-intelligence-continuity-model","C:\Users\18177\morning-star\architecture-autonomous-intelligence\autonomous-intelligence-continuity-model","3","0","0","3","0"
"OTHER","autonomous-intelligence-state-formation","architecture-autonomous-intelligence/autonomous-intelligence-state-formation","C:\Users\18177\morning-star\architecture-autonomous-intelligence\autonomous-intelligence-state-formation","3","0","0","3","0"
"OTHER","autonomous-knowledge-integration","architecture-autonomous-intelligence/autonomous-knowledge-integration","C:\Users\18177\morning-star\architecture-autonomous-intelligence\autonomous-knowledge-integration","3","0","0","3","0"
"OTHER","final-consolidation","architecture-autonomous-intelligence/final-consolidation","C:\Users\18177\morning-star\architecture-autonomous-intelligence\final-consolidation","3","0","0","3","0"
"OTHER","self-directed-architecture-optimization","architecture-autonomous-intelligence/self-directed-architecture-optimization","C:\Users\18177\morning-star\architecture-autonomous-intelligence\self-directed-architecture-optimization","3","0","0","3","0"
"OTHER","architecture-autonomous-intelligence-framework","architecture-autonomous-intelligence-framework","C:\Users\18177\morning-star\architecture-autonomous-intelligence-framework","0","0","0","0","0"
"OTHER","architecture-autonomy-integration-mapping","architecture-autonomous-intelligence-framework/architecture-autonomy-integration-mapping","C:\Users\18177\morning-star\architecture-autonomous-intelligence-framework\architecture-autonomy-integration-mapping","3","0","0","3","0"
"OTHER","autonomous-architecture-continuum","architecture-autonomous-intelligence-framework/autonomous-architecture-continuum","C:\Users\18177\morning-star\architecture-autonomous-intelligence-framework\autonomous-architecture-continuum","3","0","0","3","0"
"OTHER","final-consolidation","architecture-autonomous-intelligence-framework/final-consolidation","C:\Users\18177\morning-star\architecture-autonomous-intelligence-framework\final-consolidation","3","0","0","3","0"
"OTHER","recursive-autonomous-governance","architecture-autonomous-intelligence-framework/recursive-autonomous-governance","C:\Users\18177\morning-star\architecture-autonomous-intelligence-framework\recursive-autonomous-governance","3","0","0","3","0"
"OTHER","unified-autonomous-intelligence-modeling","architecture-autonomous-intelligence-framework/unified-autonomous-intelligence-modeling","C:\Users\18177\morning-star\architecture-autonomous-intelligence-framework\unified-autonomous-intelligence-modeling","3","0","0","3","0"
"OTHER","architecture-autonomous-synthesis-governance","architecture-autonomous-synthesis-governance","C:\Users\18177\morning-star\architecture-autonomous-synthesis-governance","0","0","0","0","0"
"OTHER","adaptive-transition-management","architecture-autonomous-synthesis-governance/adaptive-transition-management","C:\Users\18177\morning-star\architecture-autonomous-synthesis-governance\adaptive-transition-management","3","0","0","3","0"
"OTHER","continuous-synthesis-governance-model","architecture-autonomous-synthesis-governance/continuous-synthesis-governance-model","C:\Users\18177\morning-star\architecture-autonomous-synthesis-governance\continuous-synthesis-governance-model","3","0","0","3","0"
"OTHER","emergent-architecture-coordination","architecture-autonomous-synthesis-governance/emergent-architecture-coordination","C:\Users\18177\morning-star\architecture-autonomous-synthesis-governance\emergent-architecture-coordination","3","0","0","3","0"
"OTHER","final-consolidation","architecture-autonomous-synthesis-governance/final-consolidation","C:\Users\18177\morning-star\architecture-autonomous-synthesis-governance\final-consolidation","3","0","0","3","0"
"OTHER","synthesis-governance-intelligence","architecture-autonomous-synthesis-governance/synthesis-governance-intelligence","C:\Users\18177\morning-star\architecture-autonomous-synthesis-governance\synthesis-governance-intelligence","3","0","0","3","0"
"OTHER","architecture-autonomy-framework","architecture-autonomy-framework","C:\Users\18177\morning-star\architecture-autonomy-framework","0","0","0","0","0"
"OTHER","autonomous-continuity-preservation","architecture-autonomy-framework/autonomous-continuity-preservation","C:\Users\18177\morning-star\architecture-autonomy-framework\autonomous-continuity-preservation","3","0","0","3","0"
"OTHER","autonomous-state-governance","architecture-autonomy-framework/autonomous-state-governance","C:\Users\18177\morning-star\architecture-autonomy-framework\autonomous-state-governance","3","0","0","3","0"
"OTHER","autonomous-validation-intelligence","architecture-autonomy-framework/autonomous-validation-intelligence","C:\Users\18177\morning-star\architecture-autonomy-framework\autonomous-validation-intelligence","3","0","0","3","0"
"OTHER","final-consolidation","architecture-autonomy-framework/final-consolidation","C:\Users\18177\morning-star\architecture-autonomy-framework\final-consolidation","3","0","0","3","0"
"OTHER","self-regulating-architecture-controls","architecture-autonomy-framework/self-regulating-architecture-controls","C:\Users\18177\morning-star\architecture-autonomy-framework\self-regulating-architecture-controls","3","0","0","3","0"
"OTHER","architecture-certification-continuum-framework","architecture-certification-continuum-framework","C:\Users\18177\morning-star\architecture-certification-continuum-framework","0","0","0","0","0"
"OTHER","long-term-public-architecture-stewardship","architecture-certification-continuum-framework/long-term-public-architecture-stewardship","C:\Users\18177\morning-star\architecture-certification-continuum-framework\long-term-public-architecture-stewardship","3","0","0","3","0"
"OTHER","reference-state-certification","architecture-certification-continuum-framework/reference-state-certification","C:\Users\18177\morning-star\architecture-certification-continuum-framework\reference-state-certification","3","0","0","3","0"
"OTHER","architecture-cognition-framework","architecture-cognition-framework","C:\Users\18177\morning-star\architecture-cognition-framework","0","0","0","0","0"
