"AssessmentID","ResponseID","PropertyClass","AssessorID","AssessmentResult","Materiality","Compensability","EvidenceReference","Rationale","TransitionDisposition","AdjudicationStatus","FinalResult"
"MS-T9-ASSESS-021","MS-T9-RESP-001-B","EFFECTIVE_TIME","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-B|TRANSITION_PARTIAL","The EFFECTIVE_TIME property was classified as PRESERVED under the B transition condition.","TRANSITION_PARTIAL","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-022","MS-T9-RESP-001-B","ACCEPTANCE","MS-T9-ASSESSOR-001","PARTIAL","MATERIAL","COMPENSABLE_WITH_RECONSTRUCTION","MS-T9-RESP-001-B|TRANSITION_PARTIAL","The ACCEPTANCE property was classified as PARTIAL under the B transition condition.","TRANSITION_PARTIAL","FINALIZED","PARTIALLY_SATISFIED"
"MS-T9-ASSESS-023","MS-T9-RESP-001-C","IDENTITY","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-C|TRANSITION_INVALID","The IDENTITY property was classified as PRESERVED under the C transition condition.","TRANSITION_INVALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-024","MS-T9-RESP-001-C","SOURCE","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-C|TRANSITION_INVALID","The SOURCE property was classified as PRESERVED under the C transition condition.","TRANSITION_INVALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-025","MS-T9-RESP-001-C","VERSION","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-C|TRANSITION_INVALID","The VERSION property was classified as PRESERVED under the C transition condition.","TRANSITION_INVALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-026","MS-T9-RESP-001-C","AUTHORITY","MS-T9-ASSESSOR-001","MISSING","MATERIAL","NON_COMPENSABLE_WITHOUT_AUTHORITY_RECONSTRUCTION","MS-T9-RESP-001-C|TRANSITION_INVALID","The AUTHORITY property was classified as MISSING under the C transition condition.","TRANSITION_INVALID","FINALIZED","NOT_SATISFIED"
"MS-T9-ASSESS-027","MS-T9-RESP-001-C","SCOPE","MS-T9-ASSESSOR-001","MISSING","MATERIAL","NON_COMPENSABLE_WITHOUT_AUTHORITY_RECONSTRUCTION","MS-T9-RESP-001-C|TRANSITION_INVALID","The SCOPE property was classified as MISSING under the C transition condition.","TRANSITION_INVALID","FINALIZED","NOT_SATISFIED"
"MS-T9-ASSESS-028","MS-T9-RESP-001-C","DEPENDENCY","MS-T9-ASSESSOR-001","MISSING","MATERIAL","NON_COMPENSABLE_WITHOUT_AUTHORITY_RECONSTRUCTION","MS-T9-RESP-001-C|TRANSITION_INVALID","The DEPENDENCY property was classified as MISSING under the C transition condition.","TRANSITION_INVALID","FINALIZED","NOT_SATISFIED"
"MS-T9-ASSESS-029","MS-T9-RESP-001-C","UNCERTAINTY","MS-T9-ASSESSOR-001","MISSING","MATERIAL","NON_COMPENSABLE_WITHOUT_AUTHORITY_RECONSTRUCTION","MS-T9-RESP-001-C|TRANSITION_INVALID","The UNCERTAINTY property was classified as MISSING under the C transition condition.","TRANSITION_INVALID","FINALIZED","NOT_SATISFIED"
"MS-T9-ASSESS-030","MS-T9-RESP-001-C","OBLIGATION","MS-T9-ASSESSOR-001","MISSING","MATERIAL","NON_COMPENSABLE_WITHOUT_AUTHORITY_RECONSTRUCTION","MS-T9-RESP-001-C|TRANSITION_INVALID","The OBLIGATION property was classified as MISSING under the C transition condition.","TRANSITION_INVALID","FINALIZED","NOT_SATISFIED"
"MS-T9-ASSESS-031","MS-T9-RESP-001-C","HISTORY","MS-T9-ASSESSOR-001","MISSING","MATERIAL","NON_COMPENSABLE_WITHOUT_AUTHORITY_RECONSTRUCTION","MS-T9-RESP-001-C|TRANSITION_INVALID","The HISTORY property was classified as MISSING under the C transition condition.","TRANSITION_INVALID","FINALIZED","NOT_SATISFIED"
"MS-T9-ASSESS-032","MS-T9-RESP-001-C","EFFECTIVE_TIME","MS-T9-ASSESSOR-001","MISSING","MATERIAL","NON_COMPENSABLE_WITHOUT_AUTHORITY_RECONSTRUCTION","MS-T9-RESP-001-C|TRANSITION_INVALID","The EFFECTIVE_TIME property was classified as MISSING under the C transition condition.","TRANSITION_INVALID","FINALIZED","NOT_SATISFIED"
"MS-T9-ASSESS-033","MS-T9-RESP-001-C","ACCEPTANCE","MS-T9-ASSESSOR-001","MISSING","MATERIAL","NON_COMPENSABLE_WITHOUT_AUTHORITY_RECONSTRUCTION","MS-T9-RESP-001-C|TRANSITION_INVALID","The ACCEPTANCE property was classified as MISSING under the C transition condition.","TRANSITION_INVALID","FINALIZED","NOT_SATISFIED"
"MS-T9-ASSESS-034","MS-T9-RESP-CTRL-001","IDENTITY","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-CTRL-001|TRANSITION_VALID","The IDENTITY property was classified as PRESERVED under the CTRL transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-035","MS-T9-RESP-CTRL-001","SOURCE","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-CTRL-001|TRANSITION_VALID","The SOURCE property was classified as PRESERVED under the CTRL transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-036","MS-T9-RESP-CTRL-001","VERSION","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-CTRL-001|TRANSITION_VALID","The VERSION property was classified as PRESERVED under the CTRL transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-037","MS-T9-RESP-CTRL-001","AUTHORITY","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-CTRL-001|TRANSITION_VALID","The AUTHORITY property was classified as PRESERVED under the CTRL transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-038","MS-T9-RESP-CTRL-001","SCOPE","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-CTRL-001|TRANSITION_VALID","The SCOPE property was classified as PRESERVED under the CTRL transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-039","MS-T9-RESP-CTRL-001","DEPENDENCY","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-CTRL-001|TRANSITION_VALID","The DEPENDENCY property was classified as PRESERVED under the CTRL transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-040","MS-T9-RESP-CTRL-001","UNCERTAINTY","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-CTRL-001|TRANSITION_VALID","The UNCERTAINTY property was classified as PRESERVED under the CTRL transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-041","MS-T9-RESP-CTRL-001","OBLIGATION","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-CTRL-001|TRANSITION_VALID","The OBLIGATION property was classified as PRESERVED under the CTRL transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-042","MS-T9-RESP-CTRL-001","HISTORY","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-CTRL-001|TRANSITION_VALID","The HISTORY property was classified as PRESERVED under the CTRL transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-043","MS-T9-RESP-CTRL-001","EFFECTIVE_TIME","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-CTRL-001|TRANSITION_VALID","The EFFECTIVE_TIME property was classified as PRESERVED under the CTRL transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-044","MS-T9-RESP-CTRL-001","ACCEPTANCE","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-CTRL-001|TRANSITION_VALID","The ACCEPTANCE property was classified as PRESERVED under the CTRL transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
