"TransactionID","WorkItemID","SourceFile","ResolutionClass","Stage5ConstitutionalStatus","Stage5SynchronizationEligibility","Stage5Disposition","GovernanceDisposition","GovernanceDecisionStatus","CanonicalAdmissionAuthorized","SynchronizationAuthorized","RequiredGovernanceAction","DispositionRationale","Stage6Status","RecordedAt"
"BATCH-A-TXN-A88BF93710FD752E","MS-S6-WORK-A88BF93710FD752E","DEPENDENCY_CHAINS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5475393-05:00"
"BATCH-A-TXN-AAD8359D31B70D92","MS-S6-WORK-AAD8359D31B70D92","DEPENDENCY_CHAINS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5475393-05:00"
"BATCH-A-TXN-B2DE4EB0D5FFDF69","MS-S6-WORK-B2DE4EB0D5FFDF69","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5475393-05:00"
"BATCH-A-TXN-C16442CFDE2AAD64","MS-S6-WORK-C16442CFDE2AAD64","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5475393-05:00"
"BATCH-A-TXN-D6CC2FFA3F51B2C9","MS-S6-WORK-D6CC2FFA3F51B2C9","OBSERVER_RESPONSES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5633515-05:00"
"BATCH-A-TXN-D980DACC6CEFD38E","MS-S6-WORK-D980DACC6CEFD38E","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5633515-05:00"
"BATCH-A-TXN-E735DEA2E43B4106","MS-S6-WORK-E735DEA2E43B4106","DEPENDENCY_CHAINS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5653587-05:00"
"BATCH-A-TXN-F0EEA524FA072103","MS-S6-WORK-F0EEA524FA072103","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5653587-05:00"
"BATCH-A-TXN-F95363FCFD1AEAD5","MS-S6-WORK-F95363FCFD1AEAD5","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5653587-05:00"
"BATCH-A-TXN-F9866AB04A6F7D6B","MS-S6-WORK-F9866AB04A6F7D6B","PROPAGATION_EVENTS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5653587-05:00"
"BATCH-A-TXN-FAEECD281B201B10","MS-S6-WORK-FAEECD281B201B10","DEPENDENCY_CHAINS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5653587-05:00"
